"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.711014846368013,-0.00258865380812756,0.0282455191262668,0.659873933209638,0.765091584388785
"X2",0.0692775526697493,0.00642356058029278,0.057024509887862,-0.0200684099148917,0.179101913529689
"X3",0.0187352358390301,-0.0054097308966611,0.0527203045703042,-0.0572935113643321,0.14497454425182
"X4",0.0254212136422012,0.00888777015089391,0.0513521669654548,-0.077653522991916,0.110641755087307
"X5",-0.000450970161180446,-0.00448306693486265,0.0427838184381556,-0.0731445619492378,0.0729145566489953
