"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.981500180529569,-0.0059105893825091,0.0554720320080909,0.895942746948165,1.08702749580109
"X2",0.222738841561938,-0.0015361040829962,0.0212876874940117,0.191552557148839,0.26246346667499
"X3",0.100057853165586,0.000149462666347563,0.0122431267723314,0.0835304571784789,0.12703202359744
"X4",0.00396319224753409,-9.09948695637011e-05,0.000420120589263381,0.00335778462053163,0.00481013216942027
"X5",0,0,0,0,0
