"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.0160701725783868,0.000991093667914358,0.00124423809891479,0.0154854722157634,0.017538468144703
"X2",0.592032875523759,-0.0206010541033429,0.0253393922137925,0.573060544546675,0.601291030981457
"X3",0.320406165133771,-0.00663373215989665,0.0222836880194448,0.287646380797335,0.338429244687436
"X4",0.197560037493303,0.00161401924192955,0.012612475718104,0.178604259031605,0.2027957424186
"X5",0.000802562951282238,-4.01800547601455e-06,9.66730574221956e-05,0.000651900662499775,0.000890298116574542
"X6",6.94431332480833e-06,1.47602194849498e-07,5.29104510301766e-07,6.77047265366817e-06,7.9832348523514e-06
