"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.0227997308298252,0.00653879269262738,0.0275217764978445,0.00211429164712043,0.058899507216453
"X2",0.506597252207254,-0.0200351652860284,0.0109140111833201,0.496768255550372,0.496768255550372
"X3",0.219716979939497,0.0047348896898346,0.0220071363597246,0.194974962343792,0.244645941985574
"X4",0.0912574572506361,-0.00447609853643614,0.0145048975445477,0.0837360582186413,0.108830383963264
"X5",-0.00488857159813158,0.00344272031791152,0.0160699240437334,-0.0145814845603639,0.0223053122718262
"X6",0.0271535985033215,0.004073887373913,0.0181678261183745,0.00721219355241122,0.048989360051109
