"","V1","V2","V3","V4","V5","V6","V7"
"1","S","0.248603737988659","0.0504688049081057","0.0446144745452787","0.02343397266935","0.687934684734411","0.123745784862627"
"2","S","0.247686758622012","-0.0514706633237377","0.0708872979285726","0.0184814991263862","0.632997370881131","0.0713571345482117"
"3","S","0.181467827651154","-0.0521673704213326","-0.0134338104278709","0.054947672261033","0.673348710991445","0.119125494288629"
"4","S","0.295987384506037","0.0254381456594804","0.024119126464409","0.0364496951726945","0.689650618633879","-0.0249437568318764"
"5","S","0.260987128614795","0.00819796800342519","0.161619152428055","0.00575311620561638","0.677275544367954","0.0944377489430066"
"6","S","0.271883414289467","-0.0472614066803612","0.00769141156248452","-0.0520909563398728","0.688112686952979","0.109021337026063"
"7","S","0.288376464604944","-0.0186516435121239","-0.011501258825065","0.0566514389195337","0.666220640024142","0.0225339296992099"
"8","S","0.238338632697528","0.0884420518589661","0.00428785783155636","-0.0788878973665795","0.674456048176238","0.0855016158084615"
"9","S","0.166145753455492","0.019555192593752","-0.0264988929085274","-0.115923380290295","0.637037843251046","0.0607289297127021"
"10","S","0.202466594889315","0.0109410163020321","-0.0211583842703353","-0.0654097396894778","0.672706740307809","0.0787760096951227"
"11","S","0.264632372689001","-0.0334209972228583","0.0353689246585153","-0.103283004565376","0.691239880732974","0.0479977286456122"
"12","S","0.264532232239903","-7.47039266382786e-05","0.0737472542589749","0.0351056092801585","0.699861051916968","0.00871234399195392"
"13","S","0.261884776380649","-0.236896913331563","-0.0805076504049995","-0.0107826528869043","0.670763796900328","0.0694619709366476"
"14","S","0.292425378770231","-0.0295655712166377","-0.00267461903083748","0.110570393122752","0.686075967297045","0.0368233457731194"
"15","S","0.253401259071504","0.0190763867367078","0.0919857368086949","0.0155978027532957","0.694336023287602","0.0149602398321058"
"16","S","0.22317491135885","-0.0491473338608538","0.129927358972416","0.0910684145340555","0.683614718365725","0.0727879779403579"
"17","S","0.286474308767656","0.0670661263551181","0.0270621837631528","-0.0803744703588518","0.644307780353778","0.058154121278238"
"18","S","0.248947804376095","-0.052760318237025","0.0183489534271853","0.0875338872953212","0.659878358627491","0.0737272646615077"
"19","S","0.254215305723364","0.0190329197049108","0.0645858097407863","-0.00125878326701837","0.647797898987528","0.0444882643645932"
"20","S","0.254011380532463","-0.0299895827174827","0.0680437249068335","0.00528845017673059","0.662412662919558","-0.0285305489161477"
"21","S","0.263698986159676","0.113143930239573","-0.00240150121744957","0.0561766462283428","0.64676377712797","0.0688947913753228"
"22","S","0.292498703033251","0.027639412109025","-0.0735515884097382","0.109324006312168","0.698534438289012","0.00571560808808341"
"23","S","0.273977872681922","-0.0500441203806973","0.0800703059031741","0.0345097639951418","0.671779165966885","0.0301846555814161"
"24","S","0.244541828677617","-0.0871458049103601","-0.00686235261218113","0.0246923548062131","0.693379784809592","0.0550294072349392"
"25","S","0.320042579325305","-0.0402973991090642","-0.0334449806877351","-0.0330767877504528","0.667777826910111","0.0739477943847961"
"26","S","0.293707007062772","-0.147138049076224","-0.034365167984474","-0.0208017549850049","0.648870577141882","0.106907312865662"
"27","S","0.274318145890367","0.0766256203027582","-0.0522726812931058","0.0817503093705963","0.682730556891953","0.047115174383545"
